<<<<<<< HEAD
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15

=======
01 20 08
>>>>>>> fa4e3f3b0994a930878d8828b2063d5503725533
